Meet name,Host,Start Date,End Date,date
Elite Invitational ,upenn,11/23/2024,11/23/2024,November 23 2024
St John's Invitational,stjohns,1/18/2025,1/18/2025,Jan 18
Philadelphia Inviationals ,upenn,1/19/2025,1/19/2025,Jan 19 2025
Decicco Duals ,notredame,1/15/2025,1/16/2025,Jan 15-26 2025
Northwestern Duals ,northwestern,2/1/2025,2/1/2025,Feb 1st 2025
ACC Champs ,unc,2/22/2025,2/23/2025,Feb 22-23 2025
NCAA Midwest regionals ,,3/8/2025,3/8/2025,March 8th 2025
NCAA Champs ,pennstate,3/20/2025,3/23/2025,March 20-23 2025
Temple Open,temple,10/26/2024,10/27/2024,October 26-27th 2024
Duke vs UNC,,11/2/2024,11/2/2024,Nov 2 2024
Eric Sollee Inviational ,duke,2/1/2025,2/2/2025,Feb 1-2nd 2025
The Beguinet Classic,duke,2/8/2024,2/8/2025,Feb 8
Miller Invitational ,unc,2/9/2024,2/9/2025,Feb 9
The Big One ,,11/2/2024,11/2/2024,Nov 2nd 2024
Western Invitational ,ucsd,11/2/2024,11/3/2024,NOV 2-3 2024
Beanpot ,bostoncollege,11/13/2024,11/13/2024,Nov 13th
NFC,,11/23/2024,11/24/2024,Nov 23-24
Brandeis Inviational,brandeis,12/8/2024,12/8/2024,Dec 8
NEICAA Champs,,2/23/2024,2/23/2025,Feb 23
