Team A,Team A Overall,Team A Foil,Team A Epee,Team A Saber,Team B,Team B Overall,Team B Foil,Team B Epee,Team B Saber,Date,Host
NYU,25,7,9,9,Lafayette,2,2,0,0,2024-02-25,Long Island University
LIU,17,6,5,6,Hunter,10,3,4,3,2024-02-25,Long Island University
LIU,21,8,7,6,Lafayette,6,1,2,3,2024-02-25,Long Island University
NYU,23,8,7,8,Hunter,4,1,2,1,2024-02-25,Long Island University
Lafayette,14,4,7,3,Hunter,13,5,2,6,2024-02-25,Long Island University
NYU,15,6,6,3,Wagner,12,3,3,6,2024-02-25,Long Island University
NYU,16,5,6,5,LIU,11,4,3,4,2024-02-25,Long Island University
Wagner,22,4,9,9,Hunter,5,5,0,0,2024-02-25,Long Island University
Duke,17,7,4,6,North Carolina,10,2,5,3,2024-02-25,Notre Dame
Notre Dame,18,5,5,8,Boston College,9,4,4,1,2024-02-25,Notre Dame
Boston College,14,2,7,5,Duke,13,7,2,4,2024-02-25,Notre Dame
Notre Dame,19,6,6,7,North Carolina,8,3,3,2,2024-02-25,Notre Dame
Duke,17,6,5,6,Notre Dame,10,3,4,3,2024-02-25,Notre Dame
North Carolina,15,5,5,5,Boston College,12,4,4,4,2024-02-25,Notre Dame
Penn State,14,5,6,3,Johns Hopkins,13,4,3,6,2024-02-25,Temple
Princeton,16,1,7,8,Temple,11,8,2,1,2024-02-25,Temple
Penn,15,6,4,5,Penn State,12,3,5,4,2024-02-25,Temple
Princeton,21,7,7,7,Johns Hopkins,6,2,2,2,2024-02-25,Temple
Temple,16,6,4,6,St Johns,11,3,5,3,2024-02-25,Temple
Princeton,15,3,3,9,Penn State,12,6,6,0,2024-02-25,Temple
St Johns,17,4,9,4,Johns Hopkins,10,5,0,5,2024-02-25,Temple
Penn,15,5,7,3,Temple,12,4,2,6,2024-02-25,Temple
Penn,16,4,6,6,Johns Hopkins,11,5,3,3,2024-02-25,Temple
St Johns,13,6,3,4,Princeton,12,1,6,5,2024-02-25,Temple
Penn State,14,7,5,2,Temple,13,2,4,7,2024-02-25,Temple
Penn State,19,6,7,6,St Johns,8,3,2,3,2024-02-25,Temple
Johns Hopkins,15,5,4,6,Temple,12,4,5,3,2024-02-25,Temple
Ohio State,24,9,7,8,Cleveland State,3,0,2,1,2024-02-24,Ohio State
Denison,25,9,8,8,Detroit Mercy,2,0,1,1,2024-02-24,Ohio State
Wayne State,14,6,8,0,Lawrence,13,3,1,9,2024-02-24,Ohio State
Ohio State,25,8,9,8,Lawrence,2,1,0,1,2024-02-24,Ohio State
Northwestern,27,9,9,9,Detroit Mercy,0,0,0,0,2024-02-24,Ohio State
Wayne State,21,9,8,4,Cleveland State,5,0,1,4,2024-02-24,Ohio State
Northwestern,27,9,9,9,Cleveland State,0,0,0,0,2024-02-24,Ohio State
Denison,16,6,4,6,Lawrence,11,3,5,3,2024-02-24,Ohio State
Wayne State,22,9,9,4,Detroit Mercy,5,0,0,5,2024-02-24,Ohio State
Ohio State,26,9,9,8,Detroit Mercy,1,0,0,1,2024-02-24,Ohio State
Northwestern,24,8,9,7,Lawrence,3,1,0,2,2024-02-24,Ohio State
Denison,23,9,6,8,Cleveland State,4,0,3,1,2024-02-24,Ohio State
Ohio State,20,5,8,7,Denison,7,4,1,2,2024-02-24,Ohio State
Northwestern,23,7,7,9,Wayne State,4,2,2,0,2024-02-24,Ohio State
Lawrence,23,6,8,9,Detroit Mercy,1,0,1,0,2024-02-24,Ohio State
Northwestern,16,3,6,7,Ohio State,11,6,3,2,2024-02-24,Ohio State
Denison,15,4,2,9,Wayne State,12,5,7,0,2024-02-24,Ohio State
Cleveland State,14,0,9,5,Detroit Mercy,4,0,0,4,2024-02-24,Ohio State
Ohio State,21,8,4,9,Wayne State,6,1,5,0,2024-02-24,Ohio State
Northwestern,24,8,8,8,Denison,3,1,1,1,2024-02-24,Ohio State
Lawrence,15,6,2,7,Cleveland State,9,0,7,2,2024-02-24,Ohio State
Wagner,14,3,4,7,LIU,13,6,5,2,2024-02-24,Long Island University
Stevens,20,6,6,8,Hunter,7,3,3,1,2024-02-18,Drew
Johns Hopkins,20,8,4,8,Drew,7,1,5,1,2024-02-18,Drew
Wellesley,27,9,9,9,Yeshiva,0,0,0,0,2024-02-18,Drew
Denison,23,9,6,8,Haverford,4,0,3,1,2024-02-18,Drew
Vassar,24,7,9,8,CCNY,3,2,0,1,2024-02-18,Drew
Drew,22,8,8,6,Yeshiva,5,1,1,3,2024-02-18,Drew
Johns Hopkins,24,9,7,8,Hunter,3,0,2,1,2024-02-18,Drew
Stevens,21,6,7,8,Haverford,6,3,2,1,2024-02-18,Drew
Wellesley,26,9,9,8,CCNY,1,0,0,1,2024-02-18,Drew
Denison,21,8,5,8,Vassar,6,1,4,1,2024-02-18,Drew
Drew,17,4,7,6,Hunter,10,5,2,3,2024-02-18,Drew
Stevens,25,9,9,7,Yeshiva,2,0,0,2,2024-02-18,Drew
Johns Hopkins,19,7,4,8,Vassar,8,2,5,1,2024-02-18,Drew
Denison,26,8,9,9,CCNY,1,1,0,0,2024-02-18,Drew
Wellesley,20,8,7,5,Haverford,7,1,2,4,2024-02-18,Drew
Johns Hopkins,27,9,9,9,Yeshiva,0,0,0,0,2024-02-18,Drew
Stevens,20,7,5,8,Drew,7,2,4,1,2024-02-18,Drew
Denison,22,8,5,9,Hunter,5,1,4,0,2024-02-18,Drew
Wellesley,20,6,7,7,Vassar,7,3,2,2,2024-02-18,Drew
Haverford,20,5,7,8,CCNY,7,4,2,1,2024-02-18,Drew
Johns Hopkins,20,8,4,8,Stevens,7,1,5,1,2024-02-18,Drew
Hunter,20,9,7,4,Yeshiva,7,0,2,5,2024-02-18,Drew
Drew,26,9,8,9,CCNY,1,0,1,0,2024-02-18,Drew
Vassar,17,5,7,5,Haverford,10,4,2,4,2024-02-18,Drew
Wellesley,14,3,7,4,Denison,13,6,2,5,2024-02-18,Drew
Johns Hopkins,19,4,6,9,Wellesley,8,5,3,0,2024-02-18,Drew
Denison,14,9,2,3,Stevens,13,0,7,6,2024-02-18,Drew
Vassar,14,7,3,4,Drew,12,1,6,5,2024-02-18,Drew
Haverford,18,5,5,8,Hunter,9,4,4,1,2024-02-18,Drew
Yeshiva,14,4,5,5,CCNY,13,5,4,4,2024-02-18,Drew
Columbia,16,2,5,9,NYU,11,7,4,0,2024-02-14,Columbia University
Columbia,22,5,8,9,Sacred Heart,5,4,1,0,2024-02-14,Columbia University
Columbia,17,4,5,8,Vassar,10,5,4,1,2024-02-14,Columbia University
NYU,18,8,4,6,Vassar,9,1,5,3,2024-02-14,Columbia University
NYU,22,8,7,7,Sacred Heart,5,1,2,2,2024-02-14,Columbia University
Stevens,20,6,6,8,Drew,7,3,3,1,2024-02-11,Fairleigh Dickinson Univer
NJIT,21,7,8,6,Hunter,5,2,1,2,2024-02-11,Fairleigh Dickinson Univer
FDU,21,7,8,6,CCNY,6,2,1,3,2024-02-11,Fairleigh Dickinson Univer
FDU,22,9,7,6,Yeshiva,4,0,2,2,2024-02-11,Fairleigh Dickinson Univer
NJIT,22,8,8,6,CCNY,5,1,1,3,2024-02-11,Fairleigh Dickinson Univer
Drew,22,6,8,8,Hunter,5,3,1,1,2024-02-11,Fairleigh Dickinson Univer
Stevens,27,9,9,9,Yeshiva,0,0,0,0,2024-02-11,Fairleigh Dickinson Univer
NJIT,22,7,9,6,FDU,4,2,0,2,2024-02-11,Fairleigh Dickinson Univer
Drew,22,6,7,9,CCNY,5,3,2,0,2024-02-11,Fairleigh Dickinson Univer
NJIT,14,7,5,2,Drew,13,2,4,7,2024-02-11,Fairleigh Dickinson Univer
Hunter,16,9,5,2,Yeshiva,4,0,4,0,2024-02-11,Fairleigh Dickinson Univer
Stevens,26,9,8,9,CCNY,1,0,1,0,2024-02-11,Fairleigh Dickinson Univer
Drew,15,6,4,5,FDU,9,3,5,1,2024-02-11,Fairleigh Dickinson Univer
Stevens,22,7,7,8,Hunter,5,2,2,1,2024-02-11,Fairleigh Dickinson Univer
NJIT,24,9,9,6,Yeshiva,1,0,0,1,2024-02-11,Fairleigh Dickinson Univer
Hunter,18,6,8,4,CCNY,9,3,1,5,2024-02-11,Fairleigh Dickinson Univer
Drew,23,9,7,7,Yeshiva,4,0,2,2,2024-02-11,Fairleigh Dickinson Univer
Stevens,20,6,9,5,FDU,5,3,1,1,2024-02-11,Fairleigh Dickinson Univer
CCNY,18,8,4,6,Yeshiva,9,1,5,3,2024-02-11,Fairleigh Dickinson Univer
FDU,13,4,7,2,Hunter,9,5,2,2,2024-02-11,Fairleigh Dickinson Univer
Brandeis,14,2,5,7,Air Force,13,7,4,2,2024-02-11,Duke
Duke,20,7,6,7,Johns Hopkins,7,2,3,2,2024-02-11,Duke
Temple,19,5,6,8,Air Force,8,4,3,1,2024-02-11,Duke
Duke,22,8,8,6,Brandeis,5,1,1,3,2024-02-11,Duke
Duke,14,7,3,4,Temple,13,2,6,5,2024-02-11,Duke
Johns Hopkins,14,4,5,5,Brandeis,13,5,4,4,2024-02-11,Duke
Air Force,18,8,7,3,Johns Hopkins,9,1,2,6,2024-02-11,Duke
Temple,22,7,9,6,Brandeis,5,2,0,3,2024-02-11,Duke
Duke,17,5,4,8,Air Force,10,4,5,1,2024-02-11,Duke
Temple,16,6,5,5,Johns Hopkins,11,3,4,4,2024-02-11,Duke
Stevens,20,6,6,8,Drew,7,3,3,1,2024-02-11,Fairleigh Dickinson Univer
FDU,21,7,8,6,CCNY,6,2,1,3,2024-02-11,Fairleigh Dickinson Univer
NJIT,21,7,8,6,Hunter,5,2,1,2,2024-02-11,Fairleigh Dickinson Univer
FDU,22,9,7,6,Yeshiva,4,0,2,2,2024-02-11,Fairleigh Dickinson Univer
Drew,22,6,8,8,Hunter,5,3,1,1,2024-02-11,Fairleigh Dickinson Univer
NJIT,22,8,8,6,CCNY,5,1,1,3,2024-02-11,Fairleigh Dickinson Univer
Drew,22,6,7,9,CCNY,5,3,2,0,2024-02-11,Fairleigh Dickinson Univer
NJIT,22,7,9,6,FDU,4,2,0,2,2024-02-11,Fairleigh Dickinson Univer
Stevens,27,9,9,9,Yeshiva,0,0,0,0,2024-02-11,Fairleigh Dickinson Univer
Stevens,26,9,8,9,CCNY,1,0,1,0,2024-02-11,Fairleigh Dickinson Univer
NJIT,14,7,5,2,Drew,13,2,4,7,2024-02-11,Fairleigh Dickinson Univer
Hunter,20,9,5,6,Yeshiva,5,0,4,1,2024-02-11,Fairleigh Dickinson Univer
Drew,18,6,4,8,FDU,9,3,5,1,2024-02-11,Fairleigh Dickinson Univer
NJIT,24,9,9,6,Yeshiva,1,0,0,1,2024-02-11,Fairleigh Dickinson Univer
Stevens,22,7,7,8,Hunter,5,2,2,1,2024-02-11,Fairleigh Dickinson Univer
Stevens,23,6,9,8,FDU,4,3,0,1,2024-02-11,Fairleigh Dickinson Univer
Hunter,18,6,8,4,CCNY,9,3,1,5,2024-02-11,Fairleigh Dickinson Univer
Drew,23,9,7,7,Yeshiva,4,0,2,2,2024-02-11,Fairleigh Dickinson Univer
CCNY,18,8,4,6,Yeshiva,9,1,5,3,2024-02-11,Fairleigh Dickinson Univer
FDU,15,4,7,4,Hunter,11,5,2,4,2024-02-11,Fairleigh Dickinson Univer
Columbia,19,5,7,7,Brown,8,4,2,2,2024-02-10,Columbia University
Harvard,15,3,6,6,Cornell,12,6,3,3,2024-02-10,Columbia University
Penn,17,5,8,4,Yale,10,4,1,5,2024-02-10,Columbia University
Columbia,15,7,3,5,Cornell,12,2,6,4,2024-02-10,Columbia University
Princeton,16,5,5,6,Harvard,11,4,4,3,2024-02-10,Columbia University
Yale,19,6,8,5,Brown,8,3,1,4,2024-02-10,Columbia University
Harvard,17,4,8,5,Brown,10,5,1,4,2024-02-10,Columbia University
Columbia,14,5,5,4,Penn,13,4,4,5,2024-02-10,Columbia University
Princeton,17,4,5,8,Cornell,10,5,4,1,2024-02-10,Columbia University
Penn,23,9,7,7,Brown,4,0,2,2,2024-02-10,Columbia University
Princeton,16,2,7,7,Columbia,11,7,2,2,2024-02-10,Columbia University
Yale,14,6,5,3,Cornell,13,3,4,6,2024-02-10,Columbia University
Princeton,21,4,9,8,Brown,6,5,0,1,2024-02-10,Columbia University
Penn,15,7,3,5,Harvard,12,2,6,4,2024-02-10,Columbia University
Columbia,20,5,8,7,Yale,7,4,1,2,2024-02-10,Columbia University
Cornell,15,3,6,6,Brown,12,6,3,3,2024-02-10,Columbia University
Yale,17,8,3,6,Harvard,10,1,6,3,2024-02-10,Columbia University
Penn,14,6,4,4,Princeton,13,3,5,5,2024-02-10,Columbia University
Columbia,16,8,3,5,Harvard,11,1,6,4,2024-02-10,Columbia University
Penn,16,7,6,3,Cornell,11,2,3,6,2024-02-10,Columbia University
Princeton,18,5,5,8,Yale,9,4,4,1,2024-02-10,Columbia University
NYU,18,5,4,9,LIU,9,4,5,0,2024-02-10,Univ North Carolina
Northwestern,18,6,7,5,Temple,9,3,2,4,2024-02-10,Univ North Carolina
Boston College,17,6,6,5,North Carolina,10,3,3,4,2024-02-10,Univ North Carolina
Northwestern,18,5,6,7,NYU,9,4,3,2,2024-02-10,Univ North Carolina
Temple,15,5,5,5,Boston College,12,4,4,4,2024-02-10,Univ North Carolina
North Carolina,18,2,7,9,LIU,9,7,2,0,2024-02-10,Univ North Carolina
Northwestern,16,3,6,7,Boston College,11,6,3,2,2024-02-10,Univ North Carolina
Temple,23,9,6,8,LIU,4,0,3,1,2024-02-10,Univ North Carolina
North Carolina,16,6,7,3,NYU,11,3,2,6,2024-02-10,Univ North Carolina
Temple,23,7,7,9,NYU,4,2,2,0,2024-02-10,Univ North Carolina
Temple,20,9,5,6,North Carolina,7,0,4,3,2024-02-10,Univ North Carolina
North Carolina,14,6,5,3,Northwestern,13,3,4,6,2024-02-10,Univ North Carolina
Northwestern,23,8,6,9,LIU,4,1,3,0,2024-02-10,Univ North Carolina
Boston College,19,7,7,5,NYU,8,2,2,4,2024-02-10,Univ North Carolina
Boston College,21,6,6,9,LIU,6,3,3,0,2024-02-10,Univ North Carolina
Temple,27,9,9,9,Detroit Mercy,0,0,0,0,2024-02-04,Northwestern
Denison,16,9,1,6,Incarnate Word,11,0,8,3,2024-02-04,Northwestern
Cornell,22,9,6,7,Lawrence,5,0,3,2,2024-02-04,Northwestern
Air Force,27,9,9,9,FDU,0,0,0,0,2024-02-04,Northwestern
Northwestern,16,6,4,6,Ohio State,11,3,5,3,2024-02-04,Northwestern
UC San Diego,16,5,5,6,Boston College,11,4,4,3,2024-02-04,Northwestern
Incarnate Word,15,3,9,3,Lawrence,11,5,0,6,2024-02-04,Northwestern
Air Force,26,9,9,8,Detroit Mercy,1,0,0,1,2024-02-04,Northwestern
Temple,18,4,5,9,Wayne State,9,5,4,0,2024-02-04,Northwestern
