First name,Last name,gender,weapon,season_wins,season_losses,University ,name,university_id,id,season_end_year
Monica,Balakrishnan,women,epee,27,15,Duke,Monica Balakrishnan,duke,a1,2024
Sarah,Lurye,women,epee,28,23,Duke,Sarah Lurye,duke,a2,2024
Chloe,Beittel,women,epee,42,28,Duke,Chloe Beittel,duke,a3,2024
Rachel,Kowalsky,women,epee,38,23,Duke,Rachel Kowalsky,duke,a4,2024
Aretha,Gao,women,epee,5,9,Duke,Aretha Gao,duke,a5,2024
Vanessa,Lin,women,epee,23,17,Duke,Vanessa Lin,duke,a6,2024
Katie,Lin,women,epee,2,2,Duke,Katie Lin,duke,a7,2024
Christina,Ferrari,women,foil,37,16,Duke,Christina Ferrari,duke,a8,2024
Rachel,Koo,women,foil,38,12,Duke,Rachel Koo,duke,a9,2024
Skylar,Knight,women,foil,24,14,Duke,Skylar Knight,duke,a10,2024
Sophia,Shen,women,foil,34,13,Duke,Sophia Shen,duke,a11,2024
Zizi,Newhard,women,foil,20,13,Duke,Zizi Newhard,duke,a12,2024
Elisha,Tan,women,foil,10,1,Duke,Elisha Tan,duke,a13,2024
Charlotte,Koenig,women,foil,23,5,Duke,Charlotte Koenig,duke,a14,2024
Catherine,Flanagan,women,foil,2,1,Duke,Catherine Flanagan,duke,a15,2024
Lulu,Tang,women,foil,3,0,Duke,Lulu Tang,duke,a16,2024
Kavya,menke,women,saber,21,12,Duke,Kavya menke,duke,a17,2024
Kunling,Tong,women,saber,41,24,Duke,Kunling Tong,duke,a18,2024
Hava,Stone,women,saber,34,22,Duke,Hava Stone,duke,a19,2024
Natalie,Olsen,women,saber,37,13,Duke,Natalie Olsen,duke,a20,2024
Victoria,Gorman,women,saber,47,18,Duke,Victoria Gorman,duke,a21,2024
Xavier,Ghazaleh,men,epee,8,12,Duke,Xavier Ghazaleh,duke,a22,2024
Allen,Marakov,men,epee,34,27,Duke,Allen Marakov,duke,a23,2024
Xander,Wilcox,men,epee,26,24,Duke,Xander Wilcox,duke,a24,2024
Chandler,Wimmer,men,epee,14,20,Duke,Chandler Wimmer,duke,a25,2024
Kozmo,Rhyu,men,epee,20,30,Duke,Kozmo Rhyu,duke,a26,2024
Ethan,Nguyen,men,epee,4,11,Duke,Ethan Nguyen,duke,a27,2024
David,Tierney,men,foil,27,29,Duke,David Tierney,duke,a28,2024
Cam,Evans,men,foil,10,12,Duke,Cam Evans,duke,a29,2024
Dayaal,Singh,men,foil,32,34,Duke,Dayaal Singh,duke,a30,2024
Noah,Nager,men,foil,17,16,Duke,Noah Nager,duke,a31,2024
Tuna,Korkmaz,men,foil,6,15,Duke,Tuna Korkmaz,duke,a32,2024
Ryan,Pelosky,men,foil,23,14,Duke,Ryan Pelosky,duke,a33,2024
Stephen,Kim,men,saber,45,24,Duke,Stephen Kim,duke,a34,2024
Justin,Morrill,men,saber,23,24,Duke,Justin Morrill,duke,a35,2024
Samir,Travers,men,saber,38,31,Duke,Samir Travers,duke,a36,2024
Maxwell,Greenbaum,men,saber,22,24,Duke,Maxwell Greenbaum,duke,a37,2024
,Bauer,men,saber,15,6,Ohio State, Bauer,ohiostate,a38,2024
,Buergenthal,men,saber,9,4,Ohio State, Buergenthal,ohiostate,a39,2024
,Fioretto,men,saber,62,20,Ohio State, Fioretto,ohiostate,a40,2024
,Haney,men,saber,24,13,Ohio State, Haney,ohiostate,a41,2024
,Liu,men,saber,14,25,Ohio State, Liu,ohiostate,a42,2024
,Rai,men,saber,26,20,Ohio State, Rai,ohiostate,a43,2024
,Rightler,men,saber,45,23,Ohio State, Rightler,ohiostate,a44,2024
