gender,weapon,team_a_id,team_b_id,fencer_a_name,score_a,fencer_b_name,score_b,order,ncaa_status,fencer_a_id,fencer_b_id,id,match_id,index
men,foil,ohiostate,clevelandstate,Mitchell Huth,5,W. Drew Walker,3,1,TRUE,157,136,1,1,1
men,foil,ohiostate,clevelandstate,Ilya Ayupov,5,Sal Sorrentino,2,2,TRUE,141,134,2,1,2
men,foil,ohiostate,clevelandstate,Nathan Cheng,5,Jack Miller (epee),2,3,TRUE,146,129,3,1,3
men,foil,ohiostate,clevelandstate,Ilya Ayupov,5,W. Drew Walker,2,4,TRUE,141,136,4,1,4
men,foil,ohiostate,clevelandstate,Mitchell Huth,5,Jack Miller (epee),2,5,TRUE,157,129,5,1,5
men,foil,ohiostate,clevelandstate,Nathan Cheng,5,Sal Sorrentino,0,6,TRUE,146,134,6,1,6
men,foil,ohiostate,clevelandstate,Isaac Ariza,5,Jack Miller (epee),1,7,TRUE,139,129,7,1,7
men,foil,ohiostate,clevelandstate,Samuel Freedman,5,W. Drew Walker,2,8,TRUE,151,136,8,1,8
men,foil,ohiostate,clevelandstate,Mitchell Huth,5,Sal Sorrentino,0,9,TRUE,157,134,9,1,9
men,epee,ohiostate,clevelandstate,Kinley Lavenstein,5,Nolan Giovagnoli,3,1,TRUE,161,128,10,1,10
men,epee,ohiostate,clevelandstate,Viktor Kulcsar,5,De'Mario Steele,3,2,TRUE,159,135,11,1,11
men,epee,ohiostate,clevelandstate,Max Rodney,5,Merik Pohl,3,3,TRUE,175,132,12,1,12
men,epee,ohiostate,clevelandstate,Viktor Kulcsar,3,Nolan Giovagnoli,5,4,TRUE,159,128,13,1,13
men,epee,ohiostate,clevelandstate,Kinley Lavenstein,5,Merik Pohl,1,5,TRUE,161,132,14,1,14
men,epee,ohiostate,clevelandstate,Max Rodney,3,De'Mario Steele,5,6,TRUE,175,135,15,1,15
men,epee,ohiostate,clevelandstate,Viktor Kulcsar,5,Merik Pohl,1,7,TRUE,159,132,16,1,16
men,epee,ohiostate,clevelandstate,Ayush Shah,5,Nolan Giovagnoli,1,8,TRUE,179,128,17,1,17
men,epee,ohiostate,clevelandstate,Nowell Gibson,4,De'Mario Steele,5,9,TRUE,153,135,18,1,18
men,saber,ohiostate,clevelandstate,Eddie Maklin,5,Conner Bailey,0,1,TRUE,166,126,19,1,19
men,saber,ohiostate,clevelandstate,James Schardine,4,Simon Caisse,5,2,TRUE,177,127,20,1,20
men,saber,ohiostate,clevelandstate,Kelly Liu,5,Matthew Seljan,0,3,TRUE,165,133,21,1,21
men,saber,ohiostate,clevelandstate,James Schardine,5,Conner Bailey,1,4,TRUE,177,126,22,1,22
men,saber,ohiostate,clevelandstate,Eddie Maklin,5,Matthew Seljan,0,5,TRUE,166,133,23,1,23
men,saber,ohiostate,clevelandstate,Kelly Liu,4,Simon Caisse,5,6,TRUE,165,127,24,1,24
men,saber,ohiostate,clevelandstate,James Schardine,5,Matthew Seljan,0,7,TRUE,177,133,25,1,25
men,saber,ohiostate,clevelandstate,Kelly Liu,5,Conner Bailey,1,8,TRUE,165,126,26,1,26
men,saber,ohiostate,clevelandstate,Eddie Maklin,5,Simon Caisse,1,9,TRUE,166,127,27,1,27
women,foil,ohiostate,clevelandstate,Raiyan Moradi-Bidhendi,5,Evelyn Malvestuto,0,1,TRUE,170,116,28,2,28
women,foil,ohiostate,clevelandstate,Miranda Freedman,5,Anna Quinn,1,2,TRUE,150,121,29,2,29
women,foil,ohiostate,clevelandstate,Anna Heiser,,,,3,TRUE,155,,30,2,30
women,foil,ohiostate,clevelandstate,Claire Teresa Galavotti,5,Evelyn Malvestuto,0,4,TRUE,152,116,31,2,31
women,foil,ohiostate,clevelandstate,Raiyan Moradi-Bidhendi,,,,5,TRUE,170,,32,2,32
women,foil,ohiostate,clevelandstate,Anna Heiser,2,Anna Quinn,5,6,TRUE,155,121,33,2,33
women,foil,ohiostate,clevelandstate,Claire Teresa Galavotti,,,,7,TRUE,152,,34,2,34
women,foil,ohiostate,clevelandstate,Anna Heiser,5,Evelyn Malvestuto,2,8,TRUE,155,116,35,2,35
women,foil,ohiostate,clevelandstate,Raiyan Moradi-Bidhendi,3,Anna Quinn,5,9,TRUE,170,121,36,2,36
women,epee,ohiostate,clevelandstate,Erika Gumagay,5,Rayllen Prafil Capaccio,4,1,TRUE,154,120,37,2,37
women,epee,ohiostate,clevelandstate,Talia Weiss,5,Maia Taylor Casamayor,3,2,TRUE,182,122,38,2,38
women,epee,ohiostate,clevelandstate,Catherine Popa,5,Gwen Nelson,2,3,TRUE,172,119,39,2,39
women,epee,ohiostate,clevelandstate,Talia Weiss,3,Rayllen Prafil Capaccio,5,4,TRUE,182,120,40,2,40
women,epee,ohiostate,clevelandstate,Erika Gumagay,5,Gwen Nelson,2,5,TRUE,154,119,41,2,41
women,epee,ohiostate,clevelandstate,Catherine Popa,5,Maia Taylor Casamayor,2,6,TRUE,172,122,42,2,42
women,epee,ohiostate,clevelandstate,Talia Weiss,5,Maggie Mihill,0,7,TRUE,182,118,43,2,43
women,epee,ohiostate,clevelandstate,Catherine Popa,5,Rayllen Prafil Capaccio,4,8,TRUE,172,120,44,2,44
women,epee,ohiostate,clevelandstate,Erika Gumagay,4,Maia Taylor Casamayor,5,9,TRUE,154,122,45,2,45
women,saber,ohiostate,clevelandstate,Grace Fan,,,,1,TRUE,147,,46,2,46
