Team A,Team A Overall,Team A Foil,Team A Epee,Team A Saber,Team B,Team B Overall,Team B Foil,Team B Epee,Team B Saber,Date,Host
nyu,20,3,8,9,lafayette,7,6,1,0,2024-02-25,liu
liu,24,7,8,9,hunter,3,2,1,0,2024-02-25,liu
liu,15,5,3,7,lafayette,12,4,6,2,2024-02-25,liu
nyu,27,9,9,9,hunter,0,0,0,0,2024-02-25,liu
lafayette,21,5,8,8,hunter,6,4,1,1,2024-02-25,liu
nyu,22,9,8,5,wagner,5,0,1,4,2024-02-25,liu
nyu,18,8,5,5,liu,9,1,4,4,2024-02-25,liu
wagner,14,6,3,5,hunter,13,3,6,4,2024-02-25,liu
liu,18,5,9,4,wagner,9,4,0,5,2024-02-25,liu
notredame,17,6,7,4,duke,10,3,2,5,2024-02-25,notredame
unc,15,3,6,6,bostoncollege,12,6,3,3,2024-02-25,notredame
unc,17,6,5,6,notredame,10,3,4,3,2024-02-25,notredame
duke,17,6,6,5,bostoncollege,10,3,3,4,2024-02-25,notredame
unc,19,6,6,7,duke,8,3,3,2,2024-02-25,notredame
notredame,20,6,7,7,bostoncollege,7,3,2,2,2024-02-25,notredame
pennstate,17,5,7,5,johnshopkins,10,4,2,4,2024-02-25,temple
princeton,20,7,6,7,stevens,7,2,3,2,2024-02-25,temple
pennstate,19,6,7,6,upenn,8,3,2,3,2024-02-25,temple
princeton,18,5,7,6,johnshopkins,9,4,2,3,2024-02-25,temple
stjohns,17,6,8,3,stevens,10,3,1,6,2024-02-25,temple
princeton,16,4,6,6,pennstate,11,5,3,3,2024-02-25,temple
stjohns,14,5,5,4,johnshopkins,13,4,4,5,2024-02-25,temple
upenn,15,5,3,7,johnshopkins,12,4,6,2,2024-02-25,temple
princeton,21,7,8,6,stjohns,6,2,1,3,2024-02-25,temple
pennstate,21,8,6,7,stevens,6,1,3,2,2024-02-25,temple
pennstate,17,5,4,8,stjohns,10,4,5,1,2024-02-25,temple
johnshopkins,21,9,7,5,stevens,6,0,2,4,2024-02-25,temple
upenn,19,7,6,6,stevens,8,2,3,3,2024-02-25,temple
clevelandstate,23,9,6,8,detroitmercy,4,0,3,1,2024-02-24,ohiostate
waynestate,17,6,9,2,lawrence,10,3,0,7,2024-02-24,ohiostate
ohiostate,25,9,8,8,detroitmercy,2,0,1,1,2024-02-24,ohiostate
waynestate,14,4,6,4,clevelandstate,13,5,3,5,2024-02-24,ohiostate
ohiostate,24,9,8,7,lawrence,3,0,1,2,2024-02-24,ohiostate
waynestate,23,9,7,7,detroitmercy,4,0,2,2,2024-02-24,ohiostate
ohiostate,23,9,7,7,clevelandstate,4,0,2,2,2024-02-24,ohiostate
lawrence,24,9,6,9,detroitmercy,3,0,3,0,2024-02-24,ohiostate
ohiostate,21,7,6,8,waynestate,6,2,3,1,2024-02-24,ohiostate
clevelandstate,19,6,8,5,lawrence,8,3,1,4,2024-02-24,ohiostate
haverford,24,8,9,7,hunter,3,1,0,2,2024-02-18,stevens
johnshopkins,27,9,9,9,hunter,0,0,0,0,2024-02-18,stevens
njit,16,6,5,5,johnshopkins,11,3,4,4,2024-02-18,stevens
stevens,16,2,6,8,haverford,11,7,3,1,2024-02-18,stevens
johnshopkins,27,9,9,9,yeshiva,0,0,0,0,2024-02-18,stevens
njit,18,5,5,8,haverford,9,4,4,1,2024-02-18,stevens
haverford,24,9,9,6,yeshiva,3,0,0,3,2024-02-18,stevens
columbia,15,7,6,2,nyu,12,2,3,7,2024-02-14,columbia
columbia,19,7,6,6,shu,8,2,3,3,2024-02-14,columbia
columbia,15,5,4,6,vassar,12,4,5,3,2024-02-14,columbia
nyu,16,4,5,7,vassar,11,5,4,2,2024-02-14,columbia
nyu,14,4,5,5,shu,13,5,4,4,2024-02-14,columbia
columbia,15,7,2,6,harvard,12,2,7,3,2024-02-10,columbia
princeton,18,4,7,7,upenn,9,5,2,2,2024-02-10,columbia
harvard,15,6,5,4,princeton,12,3,4,5,2024-02-10,columbia
upenn,17,6,5,6,yale,10,3,4,3,2024-02-10,columbia
columbia,16,5,7,4,upenn,11,4,2,5,2024-02-10,columbia
princeton,20,7,6,7,yale,7,2,3,2,2024-02-10,columbia
