Team A,Team A Overall,Team A Foil,Team A Epee,Team A Saber,Team B,Team B Overall,Team B Foil,Team B Epee,Team B Saber,Date,Host
nyu,25,7,9,9,lafayette,2,2,0,0,2024-02-25,liu
liu,17,6,5,6,hunter,10,3,4,3,2024-02-25,liu
liu,21,8,7,6,lafayette,6,1,2,3,2024-02-25,liu
nyu,23,8,7,8,hunter,4,1,2,1,2024-02-25,liu
lafayette,14,4,7,3,hunter,13,5,2,6,2024-02-25,liu
nyu,15,6,6,3,wagner,12,3,3,6,2024-02-25,liu
nyu,16,5,6,5,liu,11,4,3,4,2024-02-25,liu
wagner,22,4,9,9,hunter,5,5,0,0,2024-02-25,liu
duke,17,7,4,6,unc,10,2,5,3,2024-02-25,notredame
notredame,18,5,5,8,bostoncollege,9,4,4,1,2024-02-25,notredame
bostoncollege,14,2,7,5,duke,13,7,2,4,2024-02-25,notredame
notredame,19,6,6,7,unc,8,3,3,2,2024-02-25,notredame
duke,17,6,5,6,notredame,10,3,4,3,2024-02-25,notredame
unc,15,5,5,5,bostoncollege,12,4,4,4,2024-02-25,notredame
pennstate,14,5,6,3,johnshopkins,13,4,3,6,2024-02-25,temple
princeton,16,1,7,8,temple,11,8,2,1,2024-02-25,temple
upenn,15,6,4,5,pennstate,12,3,5,4,2024-02-25,temple
princeton,21,7,7,7,johnshopkins,6,2,2,2,2024-02-25,temple
temple,16,6,4,6,stjohns,11,3,5,3,2024-02-25,temple
princeton,15,3,3,9,pennstate,12,6,6,0,2024-02-25,temple
stjohns,17,4,9,4,johnshopkins,10,5,0,5,2024-02-25,temple
upenn,15,5,7,3,temple,12,4,2,6,2024-02-25,temple
upenn,16,4,6,6,johnshopkins,11,5,3,3,2024-02-25,temple
stjohns,13,6,3,4,princeton,12,1,6,5,2024-02-25,temple
pennstate,14,7,5,2,temple,13,2,4,7,2024-02-25,temple
pennstate,19,6,7,6,stjohns,8,3,2,3,2024-02-25,temple
johnshopkins,15,5,4,6,temple,12,4,5,3,2024-02-25,temple
ohiostate,24,9,7,8,clevelandstate,3,0,2,1,2024-02-24,ohiostate
denison,25,9,8,8,detroitmercy,2,0,1,1,2024-02-24,ohiostate
