id,Display Name Short,Display Name Long,Region,Theme Color
bostoncollege,Boston College,Boston College,Northeast Region,
duke,Duke,Dule University,Mid-atlantic/south Region,
unc,UNC,University of North Carolina,Mid-atlantic/south Region,
notredame,Notre Dame,University of Notre Dame,Midwest Region,
brown,Brown,Brown University,Northeast Region,
columbia,columbia,Columbia University,Northeast Region,
cornell,Cornell,Cornell University,Northeast Region,
harvard,Harvard,Harvard University,Northeast Region,
upenn,UPenn,University of Pennsylvania,Mid-atlantic/south Region,
princeton,Princeton,Princeton University,Mid-atlantic/south Region,
yale,Yale,Yale University,Northeast Region,
AirForce,Air Force,United States Air Force Academy,West Region,
incarnateword,Incarnate Word,University of the Incarnate Word,West Region,
ucsd,UCSD,UC San Diego,West Region,
stanford,Stanford,Stanford University,West Region,
clevelandstate,Cleveland State,Cleveland State University,Midwest Region,
detroitmercy,Detroit Mercy,University of Detroit Mercy,Midwest Region,
lafayette,Lafayette,Lafayette College,Mid-atlantic/south Region,
liu,LIU,Long Island University,Northeast Region,
njit,NJIT,New Jersey Institute of Technology,Mid-atlantic/south Region,
ohiostate,Ohio State,The Ohio State University,Midwest Region,
pennstate,Penn State,Pennsylvania State University,Mid-atlantic/south Region,
shu,SHU,Sacred Heart University,Northeast Region,
st.john's,St. John's,St. John's University,Northeast Region,
wagner,Wagner,Wagner College,Mid-atlantic/south Region,
fdu,FDU,Fairleigh Dickinson University,Mid-atlantic/south Region,
northwestern,Northwestern,Northwestern University,Midwest Region,
waynestate,Wayne State,Wayne State University,Midwest Region,
brandeis,Brandeis,Brandeis University,Northeast Region,
ccny,CCNY,City College of New York,Northeast Region,
denison,Denison,Denison University,Midwest Region,
drew,Drew,Drew University,Mid-atlantic/south Region,
haverford,Haverford,Haverford College,Mid-atlantic/south Region,
hunter,Hunter,Hunter College,Northeast Region,
johnshopkins,Johns Hopkins,Johns Hopkins University,Mid-atlantic/south Region,
lawrence,Lawrence,Lawrence University,Midwest Region,
mit,MIT,Massachusetts Institute of Technology,Northeast Region,
nyu,NYU,New York University,Northeast Region,
stevens,Stevens,Stevens Institute of Technology,Mid-atlantic/south Region,
tufts,Tufts,Tufts University,Northeast Region,
vassar,Vassar,Vassar College,Northeast Region,
wellesley,Wellesley,Wellesley College,Northeast Region,
yeshiva,Yeshiva,Yeshiva University,Northeast Region,
