Team A,Team A Overall,Team A Foil,Team A Epee,Team A Saber,Team B,Team B Overall,Team B Foil,Team B Epee,Team B Saber
NYU,25,7,9,9,Lafayette,2,2,0,0
LIU,17,6,5,6,Hunter,10,3,4,3
LIU,21,8,7,6,Lafayette,6,1,2,3
NYU,23,8,7,8,Hunter,4,1,2,1
Lafayette,14,4,7,3,Hunter,13,5,2,6
NYU,15,6,6,3,Wagner,12,3,3,6
NYU,16,5,6,5,LIU,11,4,3,4
Wagner,22,4,9,9,Hunter,5,5,0,0
Duke,17,7,4,6,North Carolina,10,2,5,3
Notre Dame,18,5,5,8,Boston College,9,4,4,1
Boston College,14,2,7,5,Duke,13,7,2,4
Notre Dame,19,6,6,7,North Carolina,8,3,3,2
Duke,17,6,5,6,Notre Dame,10,3,4,3
North Carolina,15,5,5,5,Boston College,12,4,4,4
Penn State,14,5,6,3,Johns Hopkins,13,4,3,6
Princeton,16,1,7,8,Temple,11,8,2,1
Penn,15,6,4,5,Penn State,12,3,5,4
Princeton,21,7,7,7,Johns Hopkins,6,2,2,2
Temple,16,6,4,6,St Johns,11,3,5,3
Princeton,15,3,3,9,Penn State,12,6,6,0
St Johns,17,4,9,4,Johns Hopkins,10,5,0,5
Penn,15,5,7,3,Temple,12,4,2,6
Penn,16,4,6,6,Johns Hopkins,11,5,3,3
St Johns,13,6,3,4,Princeton,12,1,6,5
Penn State,14,7,5,2,Temple,13,2,4,7
Penn State,19,6,7,6,St Johns,8,3,2,3
Johns Hopkins,15,5,4,6,Temple,12,4,5,3
Ohio State,24,9,7,8,Cleveland State,3,0,2,1
Denison,25,9,8,8,Detroit Mercy,2,0,1,1
Wayne State,14,6,8,0,Lawrence,13,3,1,9
Ohio State,25,8,9,8,Lawrence,2,1,0,1
Northwestern,27,9,9,9,Detroit Mercy,0,0,0,0
Wayne State,21,9,8,4,Cleveland State,5,0,1,4
Northwestern,27,9,9,9,Cleveland State,0,0,0,0
Denison,16,6,4,6,Lawrence,11,3,5,3
Wayne State,22,9,9,4,Detroit Mercy,5,0,0,5
Ohio State,26,9,9,8,Detroit Mercy,1,0,0,1
Northwestern,24,8,9,7,Lawrence,3,1,0,2
Denison,23,9,6,8,Cleveland State,4,0,3,1
Ohio State,20,5,8,7,Denison,7,4,1,2
Northwestern,23,7,7,9,Wayne State,4,2,2,0
Lawrence,23,6,8,9,Detroit Mercy,1,0,1,0
Northwestern,16,3,6,7,Ohio State,11,6,3,2
Denison,15,4,2,9,Wayne State,12,5,7,0
Cleveland State,14,0,9,5,Detroit Mercy,4,0,0,4
Ohio State,21,8,4,9,Wayne State,6,1,5,0
Northwestern,24,8,8,8,Denison,3,1,1,1
Lawrence,15,6,2,7,Cleveland State,9,0,7,2
Wagner,14,3,4,7,LIU,13,6,5,2
Stevens,20,6,6,8,Hunter,7,3,3,1
Johns Hopkins,20,8,4,8,Drew,7,1,5,1
Wellesley,27,9,9,9,Yeshiva,0,0,0,0
Denison,23,9,6,8,Haverford,4,0,3,1
Vassar,24,7,9,8,CCNY,3,2,0,1
Drew,22,8,8,6,Yeshiva,5,1,1,3
Johns Hopkins,24,9,7,8,Hunter,3,0,2,1
Stevens,21,6,7,8,Haverford,6,3,2,1
Wellesley,26,9,9,8,CCNY,1,0,0,1
Denison,21,8,5,8,Vassar,6,1,4,1
Drew,17,4,7,6,Hunter,10,5,2,3
Stevens,25,9,9,7,Yeshiva,2,0,0,2
Johns Hopkins,19,7,4,8,Vassar,8,2,5,1
Denison,26,8,9,9,CCNY,1,1,0,0
Wellesley,20,8,7,5,Haverford,7,1,2,4
Johns Hopkins,27,9,9,9,Yeshiva,0,0,0,0
Stevens,20,7,5,8,Drew,7,2,4,1
Denison,22,8,5,9,Hunter,5,1,4,0
Wellesley,20,6,7,7,Vassar,7,3,2,2
Haverford,20,5,7,8,CCNY,7,4,2,1
Johns Hopkins,20,8,4,8,Stevens,7,1,5,1
Hunter,20,9,7,4,Yeshiva,7,0,2,5
Drew,26,9,8,9,CCNY,1,0,1,0
Vassar,17,5,7,5,Haverford,10,4,2,4
Wellesley,14,3,7,4,Denison,13,6,2,5
Johns Hopkins,19,4,6,9,Wellesley,8,5,3,0
Denison,14,9,2,3,Stevens,13,0,7,6
Vassar,14,7,3,4,Drew,12,1,6,5
Haverford,18,5,5,8,Hunter,9,4,4,1
Yeshiva,14,4,5,5,CCNY,13,5,4,4
Columbia,16,2,5,9,NYU,11,7,4,0
Columbia,22,5,8,9,Sacred Heart,5,4,1,0
Columbia,17,4,5,8,Vassar,10,5,4,1
NYU,18,8,4,6,Vassar,9,1,5,3
NYU,22,8,7,7,Sacred Heart,5,1,2,2
Stevens,20,6,6,8,Drew,7,3,3,1
NJIT,21,7,8,6,Hunter,5,2,1,2
FDU,21,7,8,6,CCNY,6,2,1,3
FDU,22,9,7,6,Yeshiva,4,0,2,2
NJIT,22,8,8,6,CCNY,5,1,1,3
Drew,22,6,8,8,Hunter,5,3,1,1
Stevens,27,9,9,9,Yeshiva,0,0,0,0
NJIT,22,7,9,6,FDU,4,2,0,2
Drew,22,6,7,9,CCNY,5,3,2,0
NJIT,14,7,5,2,Drew,13,2,4,7
Hunter,16,9,5,2,Yeshiva,4,0,4,0
Stevens,26,9,8,9,CCNY,1,0,1,0
Drew,15,6,4,5,FDU,9,3,5,1
Stevens,22,7,7,8,Hunter,5,2,2,1
NJIT,24,9,9,6,Yeshiva,1,0,0,1
Hunter,18,6,8,4,CCNY,9,3,1,5
Drew,23,9,7,7,Yeshiva,4,0,2,2
Stevens,20,6,9,5,FDU,5,3,1,1
CCNY,18,8,4,6,Yeshiva,9,1,5,3
FDU,13,4,7,2,Hunter,9,5,2,2
